method,puzzle,step,q,correct
TRM (deterministic),11,6,-9.625,False
TRM (deterministic),12,1,-3.765625,False
TRM (deterministic),12,2,-9.875,False
TRM (deterministic),12,3,-9.3125,False
TRM (deterministic),12,4,-8.6875,False
TRM (deterministic),12,5,-8.6875,False
TRM (deterministic),12,6,-9.25,False
TRM (deterministic),13,1,-7.40625,False
TRM (deterministic),13,2,-9.125,False
TRM (deterministic),13,3,-8.625,False
TRM (deterministic),13,4,-8.1875,False
TRM (deterministic),13,5,-8.5625,False
TRM (deterministic),13,6,-8.6875,False
TRM (deterministic),14,1,-5.46875,False
TRM (deterministic),14,2,-8.25,False
TRM (deterministic),14,3,-10.625,False
TRM (deterministic),14,4,-9.6875,False
TRM (deterministic),14,5,-10.875,False
TRM (deterministic),14,6,-9.9375,False
TRM (deterministic),15,1,-10.625,False
TRM (deterministic),15,2,-10.8125,False
TRM (deterministic),15,3,-9.625,False
TRM (deterministic),15,4,-10.4375,False
TRM (deterministic),15,5,-9.875,False
TRM (deterministic),15,6,-10.75,False
TRM (deterministic),16,1,-10.75,False
TRM (deterministic),16,2,-10.1875,False
TRM (deterministic),16,3,-9.625,False
TRM (deterministic),16,4,-9.5,False
TRM (deterministic),16,5,-9.6875,False
TRM (deterministic),16,6,-8.9375,False
TRM (deterministic),17,1,-8.8125,False
TRM (deterministic),17,2,-7.6875,False
TRM (deterministic),17,3,-7.875,False
TRM (deterministic),17,4,-7.96875,False
TRM (deterministic),17,5,-8.0625,False
TRM (deterministic),17,6,-7.5,False
TRM (deterministic),18,1,-8.625,False
TRM (deterministic),18,2,-9.6875,False
TRM (deterministic),18,3,-10.1875,False
TRM (deterministic),18,4,-10.25,False
TRM (deterministic),18,5,-9.6875,False
TRM (deterministic),18,6,-10.0625,False
TRM (deterministic),19,1,-9.9375,False
TRM (deterministic),19,2,-9.0,False
TRM (deterministic),19,3,-9.6875,False
TRM (deterministic),19,4,-8.25,False
TRM (deterministic),19,5,-8.125,False
TRM (deterministic),19,6,-8.375,False
TRM (deterministic),20,1,-3.515625,False
TRM (deterministic),20,2,-6.40625,False
TRM (deterministic),20,3,-6.78125,False
TRM (deterministic),20,4,-8.0625,False
TRM (deterministic),20,5,-7.90625,False
TRM (deterministic),20,6,-6.75,False
TRM (deterministic),21,1,-11.75,False
TRM (deterministic),21,2,-11.0,False
TRM (deterministic),21,3,-10.9375,False
TRM (deterministic),21,4,-11.0,False
TRM (deterministic),21,5,-11.0625,False
TRM (deterministic),21,6,-10.875,False
TRM (deterministic),22,1,-7.78125,True
TRM (deterministic),22,2,-2.640625,True
TRM (deterministic),22,3,7.9375,True
TRM (deterministic),22,4,7.84375,True
TRM (deterministic),22,5,7.84375,True
TRM (deterministic),22,6,7.84375,True
TRM (deterministic),23,1,-9.0625,False
TRM (deterministic),23,2,-8.125,False
TRM (deterministic),23,3,-8.75,False
TRM (deterministic),23,4,-8.875,False
TRM (deterministic),23,5,-8.6875,False
TRM (deterministic),23,6,-8.8125,False
TRM (deterministic),24,1,-9.4375,False
TRM (deterministic),24,2,-8.3125,False
TRM (deterministic),24,3,-8.3125,False
TRM (deterministic),24,4,-9.1875,False
TRM (deterministic),24,5,-9.5625,False
TRM (deterministic),24,6,-9.5,False
TRM (deterministic),25,1,-9.875,False
TRM (deterministic),25,2,-9.75,False
TRM (deterministic),25,3,-9.875,False
TRM (deterministic),25,4,-9.8125,False
TRM (deterministic),25,5,-10.6875,False
TRM (deterministic),25,6,-10.25,False
TRM (deterministic),26,1,-3.921875,True
TRM (deterministic),26,2,3.515625,True
TRM (deterministic),26,3,7.21875,True
TRM (deterministic),26,4,7.21875,True
TRM (deterministic),26,5,7.21875,True
TRM (deterministic),26,6,7.21875,True
TRM (deterministic),27,1,-9.4375,False
TRM (deterministic),27,2,-9.25,False
TRM (deterministic),27,3,-10.6875,False
TRM (deterministic),27,4,-10.375,False
TRM (deterministic),27,5,-9.25,False
TRM (deterministic),27,6,-10.5625,False
TRM (deterministic),28,1,-9.4375,False
TRM (deterministic),28,2,-10.875,False
TRM (deterministic),28,3,-10.375,False
TRM (deterministic),28,4,-11.0,False
TRM (deterministic),28,5,-10.9375,False
TRM (deterministic),28,6,-10.3125,False
TRM (deterministic),29,1,-7.625,False
TRM (deterministic),29,2,-7.5,False
TRM (deterministic),29,3,-7.96875,False
TRM (deterministic),29,4,-7.40625,False
TRM (deterministic),29,5,-7.71875,False
TRM (deterministic),29,6,-7.21875,False
TRM (deterministic),30,1,-6.90625,False
TRM (deterministic),30,2,-9.25,False
TRM (deterministic),30,3,-8.75,False
TRM (deterministic),30,4,-9.625,False
TRM (deterministic),30,5,-8.5,False
TRM (deterministic),30,6,-9.1875,False
TRM (deterministic),31,1,-10.6875,False
TRM (deterministic),31,2,-10.8125,False
TRM (deterministic),31,3,-11.0,False
TRM (deterministic),31,4,-10.4375,False
TRM (deterministic),31,5,-10.5,False
TRM (deterministic),31,6,-10.3125,False
TRM (deterministic),32,1,-4.46875,False
TRM (deterministic),32,2,-5.78125,False
TRM (deterministic),32,3,-6.1875,False
TRM (deterministic),32,4,-6.59375,False
TRM (deterministic),32,5,-6.46875,False
TRM (deterministic),32,6,-7.59375,False
TRM (deterministic),33,1,-8.25,False
TRM (deterministic),33,2,-8.875,False
TRM (deterministic),33,3,-9.0625,False
TRM (deterministic),33,4,-9.0,False
TRM (deterministic),33,5,-9.0625,False
TRM (deterministic),33,6,-9.0625,False
TRM (deterministic),34,1,-8.25,False
TRM (deterministic),34,2,-7.96875,False
TRM (deterministic),34,3,-9.1875,False
TRM (deterministic),34,4,-9.3125,False
TRM (deterministic),34,5,-8.9375,False
TRM (deterministic),34,6,-9.0625,False
TRM (deterministic),35,1,-7.5,False
TRM (deterministic),35,2,-10.3125,False
TRM (deterministic),35,3,-10.25,False
TRM (deterministic),35,4,-10.5625,False
TRM (deterministic),35,5,-9.8125,False
TRM (deterministic),35,6,-10.5625,False
TRM (deterministic),36,1,-9.1875,False
TRM (deterministic),36,2,-8.25,False
TRM (deterministic),36,3,-7.65625,False
TRM (deterministic),36,4,-8.8125,False
TRM (deterministic),36,5,-7.71875,False
TRM (deterministic),36,6,-9.0,False
TRM (deterministic),37,1,-10.0,False
TRM (deterministic),37,2,-10.0625,False
TRM (deterministic),37,3,-10.0,False
TRM (deterministic),37,4,-10.125,False
TRM (deterministic),37,5,-10.3125,False
TRM (deterministic),37,6,-10.1875,False
TRM (deterministic),38,1,-7.46875,False
TRM (deterministic),38,2,-7.8125,False
TRM (deterministic),38,3,-8.5625,False
TRM (deterministic),38,4,-7.9375,False
TRM (deterministic),38,5,-8.75,False
TRM (deterministic),38,6,-7.9375,False
TRM (deterministic),39,1,-10.5,True
TRM (deterministic),39,2,-7.4375,True
TRM (deterministic),39,3,-10.375,True
TRM (deterministic),39,4,-9.125,True
TRM (deterministic),39,5,-8.0,True
TRM (deterministic),39,6,7.6875,True
TRM (deterministic),40,1,-9.25,False
TRM (deterministic),40,2,-6.21875,False
TRM (deterministic),40,3,-7.34375,False
TRM (deterministic),40,4,-7.3125,False
TRM (deterministic),40,5,-7.25,False
TRM (deterministic),40,6,-6.84375,False
TRM (deterministic),41,1,-7.0625,False
TRM (deterministic),41,2,-9.5625,False
TRM (deterministic),41,3,-10.4375,False
TRM (deterministic),41,4,-10.8125,False
TRM (deterministic),41,5,-9.4375,False
TRM (deterministic),41,6,-10.6875,False
TRM (deterministic),42,1,-5.03125,False
TRM (deterministic),42,2,-6.59375,False
TRM (deterministic),42,3,-5.375,False
TRM (deterministic),42,4,-5.65625,False
TRM (deterministic),42,5,-6.28125,False
TRM (deterministic),42,6,-3.65625,False
TRM (deterministic),43,1,-7.875,False
TRM (deterministic),43,2,-10.4375,False
TRM (deterministic),43,3,-9.9375,False
TRM (deterministic),43,4,-10.3125,False
TRM (deterministic),43,5,-10.6875,False
TRM (deterministic),43,6,-10.5,False
TRM (deterministic),44,1,-11.5,False
TRM (deterministic),44,2,-10.8125,False
TRM (deterministic),44,3,-10.75,False
TRM (deterministic),44,4,-10.9375,False
TRM (deterministic),44,5,-9.9375,False
TRM (deterministic),44,6,-11.625,False
TRM (deterministic),45,1,-10.9375,False
TRM (deterministic),45,2,-10.8125,False
TRM (deterministic),45,3,-10.5625,False
TRM (deterministic),45,4,-10.0,False
TRM (deterministic),45,5,-10.375,False
TRM (deterministic),45,6,-9.6875,False
TRM (deterministic),46,1,-10.625,False
TRM (deterministic),46,2,-11.25,False
TRM (deterministic),46,3,-10.9375,False
TRM (deterministic),46,4,-11.5625,False
TRM (deterministic),46,5,-10.8125,False
TRM (deterministic),46,6,-11.3125,False
TRM (deterministic),47,1,-12.1875,False
TRM (deterministic),47,2,-10.9375,False
TRM (deterministic),47,3,-10.9375,False
TRM (deterministic),47,4,-10.625,False
TRM (deterministic),47,5,-11.1875,False
TRM (deterministic),47,6,-11.25,False
TRM (deterministic),48,1,-10.4375,False
TRM (deterministic),48,2,-10.125,False
TRM (deterministic),48,3,-11.0,False
TRM (deterministic),48,4,-10.6875,False
TRM (deterministic),48,5,-10.8125,False
TRM (deterministic),48,6,-10.3125,False
TRM (deterministic),49,1,-1.8671875,False
TRM (deterministic),49,2,-6.59375,False
TRM (deterministic),49,3,-5.875,False
TRM (deterministic),49,4,-7.375,False
TRM (deterministic),49,5,-6.53125,False
TRM (deterministic),49,6,-6.21875,False
TRM (deterministic),50,1,-7.96875,False
TRM (deterministic),50,2,-8.375,False
TRM (deterministic),50,3,-8.25,False
TRM (deterministic),50,4,-7.65625,False
TRM (deterministic),50,5,-7.25,False
TRM (deterministic),50,6,-8.0,False
TRM (deterministic),51,1,-2.28125,True
TRM (deterministic),51,2,7.375,True
TRM (deterministic),51,3,7.40625,True
TRM (deterministic),51,4,7.375,True
TRM (deterministic),51,5,7.40625,True
TRM (deterministic),51,6,7.375,True
TRM (deterministic),52,1,-6.375,False
TRM (deterministic),52,2,-8.8125,False
TRM (deterministic),52,3,-8.875,False
TRM (deterministic),52,4,-9.25,False
TRM (deterministic),52,5,-8.8125,False
TRM (deterministic),52,6,-9.1875,False
TRM (deterministic),53,1,-11.25,True
TRM (deterministic),53,2,-9.5625,True
TRM (deterministic),53,3,-7.4375,True
TRM (deterministic),53,4,-7.0625,True
TRM (deterministic),53,5,6.84375,True
TRM (deterministic),53,6,7.15625,True
TRM (deterministic),54,1,-9.5625,False
TRM (deterministic),54,2,-10.5625,False
TRM (deterministic),54,3,-11.0,False
TRM (deterministic),54,4,-10.625,False
TRM (deterministic),54,5,-10.625,False
TRM (deterministic),54,6,-10.625,False
TRM (deterministic),55,1,-10.875,False
TRM (deterministic),55,2,-10.5,False
TRM (deterministic),55,3,-10.5625,False
TRM (deterministic),55,4,-10.75,False
TRM (deterministic),55,5,-10.625,False
TRM (deterministic),55,6,-10.25,False
TRM (deterministic),56,1,-8.8125,False
TRM (deterministic),56,2,-8.8125,False
TRM (deterministic),56,3,-8.5625,False
TRM (deterministic),56,4,-8.875,False
TRM (deterministic),56,5,-8.625,False
TRM (deterministic),56,6,-8.9375,False
TRM (deterministic),57,1,-4.34375,True
TRM (deterministic),57,2,5.65625,True
TRM (deterministic),57,3,7.5625,True
TRM (deterministic),57,4,7.59375,True
TRM (deterministic),57,5,7.59375,True
TRM (deterministic),57,6,7.59375,True
TRM (deterministic),58,1,-3.609375,True
TRM (deterministic),58,2,6.78125,True
TRM (deterministic),58,3,7.25,True
TRM (deterministic),58,4,7.25,True
TRM (deterministic),58,5,7.25,True
TRM (deterministic),58,6,7.25,True
TRM (deterministic),59,1,-9.25,False
TRM (deterministic),59,2,-7.75,False
TRM (deterministic),59,3,-8.25,False
TRM (deterministic),59,4,-7.75,False
TRM (deterministic),59,5,-7.9375,False
TRM (deterministic),59,6,-7.4375,False
TRM (deterministic),60,1,-8.6875,True
TRM (deterministic),60,2,7.875,True
TRM (deterministic),60,3,7.8125,True
TRM (deterministic),60,4,7.8125,True
TRM (deterministic),60,5,7.84375,True
TRM (deterministic),60,6,7.8125,True
TRM (deterministic),61,1,-3.65625,True
TRM (deterministic),61,2,7.6875,True
TRM (deterministic),61,3,7.6875,True
TRM (deterministic),61,4,7.65625,True
TRM (deterministic),61,5,7.65625,True
TRM (deterministic),61,6,7.65625,True
TRM (deterministic),62,1,-9.0,False
TRM (deterministic),62,2,-10.625,False
TRM (deterministic),62,3,-10.25,False
TRM (deterministic),62,4,-10.8125,False
TRM (deterministic),62,5,-10.9375,False
TRM (deterministic),62,6,-10.3125,False
TRM (deterministic),63,1,-7.75,False
TRM (deterministic),63,2,-7.53125,False
TRM (deterministic),63,3,-6.9375,False
TRM (deterministic),63,4,-7.3125,False
TRM (deterministic),63,5,-7.125,False
TRM (deterministic),63,6,-6.78125,False
TRM (deterministic),64,1,-9.6875,False
TRM (deterministic),64,2,-9.125,False
TRM (deterministic),64,3,-9.5625,False
TRM (deterministic),64,4,-9.4375,False
TRM (deterministic),64,5,-9.375,False
TRM (deterministic),64,6,-9.0625,False
TRM (deterministic),65,1,-9.75,False
TRM (deterministic),65,2,-9.5625,False
TRM (deterministic),65,3,-9.5,False
TRM (deterministic),65,4,-9.125,False
TRM (deterministic),65,5,-9.9375,False
TRM (deterministic),65,6,-10.125,False
TRM (deterministic),66,1,-6.15625,False
TRM (deterministic),66,2,-9.125,False
TRM (deterministic),66,3,-8.3125,False
TRM (deterministic),66,4,-9.375,False
TRM (deterministic),66,5,-7.78125,False
TRM (deterministic),66,6,-8.1875,False
TRM (deterministic),67,1,-6.40625,False
TRM (deterministic),67,2,-8.25,False
TRM (deterministic),67,3,-7.5625,False
TRM (deterministic),67,4,-7.90625,False
TRM (deterministic),67,5,-8.25,False
TRM (deterministic),67,6,-7.9375,False
TRM (deterministic),68,1,-9.1875,False
TRM (deterministic),68,2,-11.0625,False
TRM (deterministic),68,3,-10.625,False
TRM (deterministic),68,4,-10.5,False
TRM (deterministic),68,5,-10.4375,False
TRM (deterministic),68,6,-10.9375,False
TRM (deterministic),69,1,-10.6875,False
TRM (deterministic),69,2,-10.8125,False
TRM (deterministic),69,3,-10.375,False
TRM (deterministic),69,4,-10.25,False
TRM (deterministic),69,5,-10.125,False
TRM (deterministic),69,6,-10.75,False
TRM (deterministic),70,1,-6.46875,True
TRM (deterministic),70,2,-7.84375,True
TRM (deterministic),70,3,7.25,True
TRM (deterministic),70,4,6.84375,True
TRM (deterministic),70,5,6.84375,True
TRM (deterministic),70,6,6.875,True
TRM (deterministic),71,1,-10.9375,False
TRM (deterministic),71,2,-10.3125,False
TRM (deterministic),71,3,-9.5,False
TRM (deterministic),71,4,-11.1875,False
TRM (deterministic),71,5,-9.6875,False
TRM (deterministic),71,6,-10.9375,False
TRM (deterministic),72,1,-2.78125,False
TRM (deterministic),72,2,-10.3125,False
TRM (deterministic),72,3,-10.1875,False
TRM (deterministic),72,4,-10.375,False
TRM (deterministic),72,5,-11.0,False
TRM (deterministic),72,6,-10.8125,False
TRM (deterministic),73,1,-10.375,False
TRM (deterministic),73,2,-9.25,False
TRM (deterministic),73,3,-10.4375,False
TRM (deterministic),73,4,-9.75,False
TRM (deterministic),73,5,-10.375,False
TRM (deterministic),73,6,-9.4375,False
TRM (deterministic),74,1,-8.9375,False
TRM (deterministic),74,2,-6.96875,False
TRM (deterministic),74,3,-4.28125,False
TRM (deterministic),74,4,-5.96875,False
TRM (deterministic),74,5,-7.59375,False
TRM (deterministic),74,6,-6.625,False
TRM (deterministic),75,1,-10.0,False
TRM (deterministic),75,2,-11.25,False
TRM (deterministic),75,3,-9.5,False
TRM (deterministic),75,4,-10.75,False
TRM (deterministic),75,5,-9.8125,False
TRM (deterministic),75,6,-10.625,False
TRM (deterministic),76,1,-5.78125,True
TRM (deterministic),76,2,6.9375,True
TRM (deterministic),76,3,7.0,True
TRM (deterministic),76,4,6.96875,True
TRM (deterministic),76,5,7.0,True
TRM (deterministic),76,6,7.0,True
TRM (deterministic),77,1,-9.875,False
TRM (deterministic),77,2,-11.6875,False
TRM (deterministic),77,3,-12.1875,False
TRM (deterministic),77,4,-11.0625,False
TRM (deterministic),77,5,-11.0625,False
TRM (deterministic),77,6,-11.1875,False
TRM (deterministic),78,1,-7.59375,False
TRM (deterministic),78,2,-8.4375,False
TRM (deterministic),78,3,-8.3125,False
TRM (deterministic),78,4,-7.90625,False
TRM (deterministic),78,5,-8.5,False
TRM (deterministic),78,6,-7.25,False
TRM (deterministic),79,1,-10.9375,False
TRM (deterministic),79,2,-9.0625,False
TRM (deterministic),79,3,-9.8125,False
TRM (deterministic),79,4,-10.375,False
TRM (deterministic),79,5,-9.75,False
TRM (deterministic),79,6,-10.9375,False
TRM (deterministic),80,1,-8.1875,False
TRM (deterministic),80,2,-11.3125,False
TRM (deterministic),80,3,-11.0625,False
TRM (deterministic),80,4,-11.0,False
TRM (deterministic),80,5,-11.25,False
TRM (deterministic),80,6,-10.875,False
TRM (deterministic),81,1,-10.75,False
TRM (deterministic),81,2,-11.125,False
TRM (deterministic),81,3,-10.5625,False
TRM (deterministic),81,4,-11.125,False
TRM (deterministic),81,5,-10.625,False
TRM (deterministic),81,6,-11.0625,False
TRM (deterministic),82,1,-11.0625,False
TRM (deterministic),82,2,-10.875,False
TRM (deterministic),82,3,-11.0,False
TRM (deterministic),82,4,-10.5625,False
TRM (deterministic),82,5,-11.0625,False
TRM (deterministic),82,6,-10.5625,False
TRM (deterministic),83,1,-11.1875,False
TRM (deterministic),83,2,-10.1875,False
TRM (deterministic),83,3,-10.375,False
TRM (deterministic),83,4,-10.3125,False
TRM (deterministic),83,5,-10.5625,False
TRM (deterministic),83,6,-10.0,False
TRM (deterministic),84,1,-10.375,False
TRM (deterministic),84,2,-10.125,False
TRM (deterministic),84,3,-10.125,False
TRM (deterministic),84,4,-10.0,False
TRM (deterministic),84,5,-10.25,False
TRM (deterministic),84,6,-9.875,False
TRM (deterministic),85,1,-8.1875,False
TRM (deterministic),85,2,-8.0,False
TRM (deterministic),85,3,-9.375,False
TRM (deterministic),85,4,-8.375,False
TRM (deterministic),85,5,-9.125,False
TRM (deterministic),85,6,-8.875,False
TRM (deterministic),86,1,6.625,True
TRM (deterministic),86,2,7.65625,True
TRM (deterministic),86,3,7.71875,True
TRM (deterministic),86,4,7.71875,True
TRM (deterministic),86,5,7.71875,True
TRM (deterministic),86,6,7.71875,True
TRM (deterministic),87,1,-11.1875,False
TRM (deterministic),87,2,-9.75,False
TRM (deterministic),87,3,-10.5625,False
TRM (deterministic),87,4,-10.1875,False
TRM (deterministic),87,5,-10.0,False
TRM (deterministic),87,6,-10.1875,False
TRM (deterministic),88,1,-10.9375,False
TRM (deterministic),88,2,-10.3125,False
TRM (deterministic),88,3,-10.5625,False
TRM (deterministic),88,4,-11.0625,False
TRM (deterministic),88,5,-10.5,False
TRM (deterministic),88,6,-10.375,False
TRM (deterministic),89,1,-8.75,False
TRM (deterministic),89,2,-7.4375,False
TRM (deterministic),89,3,-8.0,False
TRM (deterministic),89,4,-5.9375,False
TRM (deterministic),89,5,-8.0625,False
TRM (deterministic),89,6,-4.84375,False
TRM (deterministic),90,1,-11.3125,False
TRM (deterministic),90,2,-11.4375,False
TRM (deterministic),90,3,-11.25,False
TRM (deterministic),90,4,-11.5625,False
TRM (deterministic),90,5,-11.625,False
TRM (deterministic),90,6,-11.0625,False
TRM (deterministic),91,1,-8.375,False
TRM (deterministic),91,2,-11.4375,False
TRM (deterministic),91,3,-10.625,False
TRM (deterministic),91,4,-10.75,False
TRM (deterministic),91,5,-11.5625,False
TRM (deterministic),91,6,-11.5625,False
TRM (deterministic),92,1,-9.375,False
TRM (deterministic),92,2,-10.8125,False
TRM (deterministic),92,3,-10.625,False
TRM (deterministic),92,4,-10.375,False
TRM (deterministic),92,5,-11.25,False
TRM (deterministic),92,6,-10.375,False
TRM (deterministic),93,1,-8.3125,False
TRM (deterministic),93,2,-11.625,False
TRM (deterministic),93,3,-11.875,False
TRM (deterministic),93,4,-11.4375,False
TRM (deterministic),93,5,-11.3125,False
TRM (deterministic),93,6,-12.0625,False
TRM (deterministic),94,1,-9.0625,False
TRM (deterministic),94,2,-7.53125,False
TRM (deterministic),94,3,-7.78125,False
TRM (deterministic),94,4,-7.6875,False
TRM (deterministic),94,5,-7.625,False
TRM (deterministic),94,6,-7.59375,False
TRM (deterministic),95,1,-9.625,False
TRM (deterministic),95,2,-8.875,False
TRM (deterministic),95,3,-10.8125,False
TRM (deterministic),95,4,-9.5,False
TRM (deterministic),95,5,-9.8125,False
TRM (deterministic),95,6,-9.5,False
TRM (deterministic),96,1,-9.9375,False
TRM (deterministic),96,2,-9.75,False
TRM (deterministic),96,3,-9.6875,False
TRM (deterministic),96,4,-9.5,False
TRM (deterministic),96,5,-9.6875,False
TRM (deterministic),96,6,-9.4375,False
TRM (deterministic),97,1,-6.625,False
TRM (deterministic),97,2,-8.8125,False
TRM (deterministic),97,3,-9.125,False
TRM (deterministic),97,4,-9.6875,False
TRM (deterministic),97,5,-9.5625,False
TRM (deterministic),97,6,-9.6875,False
TRM (deterministic),98,1,-10.0,False
TRM (deterministic),98,2,-11.0,False
TRM (deterministic),98,3,-10.3125,False
TRM (deterministic),98,4,-11.3125,False
TRM (deterministic),98,5,-10.0625,False
TRM (deterministic),98,6,-10.75,False
TRM (deterministic),99,1,-8.1875,False
TRM (deterministic),99,2,-7.25,False
TRM (deterministic),99,3,-6.8125,False
TRM (deterministic),99,4,-7.59375,False
TRM (deterministic),99,5,-7.21875,False
TRM (deterministic),99,6,-7.4375,False
TRM (deterministic),100,1,-7.84375,False
TRM (deterministic),100,2,-8.6875,False
TRM (deterministic),100,3,-8.625,False
TRM (deterministic),100,4,-8.875,False
TRM (deterministic),100,5,-8.75,False
TRM (deterministic),100,6,-8.8125,False
TRM (deterministic),101,1,-7.5625,False
TRM (deterministic),101,2,-7.53125,False
TRM (deterministic),101,3,-7.4375,False
TRM (deterministic),101,4,-7.90625,False
TRM (deterministic),101,5,-8.1875,False
TRM (deterministic),101,6,-6.875,False
TRM (deterministic),102,1,-10.4375,False
TRM (deterministic),102,2,-11.1875,False
TRM (deterministic),102,3,-10.25,False
TRM (deterministic),102,4,-10.5,False
TRM (deterministic),102,5,-10.5625,False
TRM (deterministic),102,6,-10.3125,False
TRM (deterministic),103,1,-12.1875,False
TRM (deterministic),103,2,-10.625,False
TRM (deterministic),103,3,-10.9375,False
TRM (deterministic),103,4,-10.6875,False
TRM (deterministic),103,5,-10.25,False
TRM (deterministic),103,6,-10.625,False
TRM (deterministic),104,1,-8.25,False
TRM (deterministic),104,2,-6.625,False
TRM (deterministic),104,3,-7.78125,False
TRM (deterministic),104,4,-6.96875,False
TRM (deterministic),104,5,-6.6875,False
TRM (deterministic),104,6,-7.9375,False
TRM (deterministic),105,1,-7.96875,False
TRM (deterministic),105,2,-11.0625,False
TRM (deterministic),105,3,-10.25,False
TRM (deterministic),105,4,-11.5,False
TRM (deterministic),105,5,-10.5,False
TRM (deterministic),105,6,-7.25,False
TRM (deterministic),106,1,-5.5,True
TRM (deterministic),106,2,-6.25,True
TRM (deterministic),106,3,6.5625,True
TRM (deterministic),106,4,7.46875,True
TRM (deterministic),106,5,7.46875,True
TRM (deterministic),106,6,7.5,True
TRM (deterministic),107,1,-9.1875,False
TRM (deterministic),107,2,-10.375,False
TRM (deterministic),107,3,-10.5625,False
TRM (deterministic),107,4,-9.875,False
TRM (deterministic),107,5,-10.1875,False
TRM (deterministic),107,6,-10.0625,False
TRM (deterministic),108,1,-9.5625,False
TRM (deterministic),108,2,-9.5625,False
TRM (deterministic),108,3,-8.9375,False
TRM (deterministic),108,4,-9.3125,False
TRM (deterministic),108,5,-9.0625,False
TRM (deterministic),108,6,-9.4375,False
TRM (deterministic),109,1,-9.75,False
TRM (deterministic),109,2,-10.9375,False
TRM (deterministic),109,3,-10.6875,False
TRM (deterministic),109,4,-10.8125,False
TRM (deterministic),109,5,-11.25,False
TRM (deterministic),109,6,-10.75,False
TRM (deterministic),110,1,-5.84375,False
TRM (deterministic),110,2,-3.625,False
TRM (deterministic),110,3,-4.4375,False
TRM (deterministic),110,4,-4.65625,False
TRM (deterministic),110,5,-4.625,False
TRM (deterministic),110,6,-3.609375,False
TRM (deterministic),111,1,-6.4375,False
TRM (deterministic),111,2,-6.75,False
TRM (deterministic),111,3,-8.625,False
TRM (deterministic),111,4,-7.65625,False
TRM (deterministic),111,5,-7.4375,False
TRM (deterministic),111,6,-7.46875,False
TRM (deterministic),112,1,-7.15625,False
TRM (deterministic),112,2,-7.1875,False
TRM (deterministic),112,3,-5.96875,False
TRM (deterministic),112,4,-7.15625,False
TRM (deterministic),112,5,-9.25,False
TRM (deterministic),112,6,-8.5625,False
TRM (deterministic),113,1,-10.5625,False
TRM (deterministic),113,2,-8.9375,False
